"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snrnp704",8.074658e-14,0.5199199,0.244,0.135,1.40814e-09,"T-cells/NK cells","Snrnp70"
"Tm2d22",9.23303e-14,0.4530495,0.191,0.093,1.610148e-09,"T-cells/NK cells","Tm2d2"
"Ucp22",9.291708e-14,0.3542847,0.288,0.157,1.620381e-09,"T-cells/NK cells","Ucp2"
"Got1",1.029736e-13,0.4639967,0.155,0.067,1.795756e-09,"T-cells/NK cells","Got1"
"Wac3",1.107927e-13,0.33653,0.136,0.056,1.932113e-09,"T-cells/NK cells","Wac"
"Nudt212",1.17771e-13,0.3997613,0.142,0.06,2.053809e-09,"T-cells/NK cells","Nudt21"
"Ly6a2",1.177838e-13,0.3955819,0.155,0.066,2.054031e-09,"T-cells/NK cells","Ly6a"
"Irf8",1.239772e-13,0.5420818,0.117,0.044,2.162038e-09,"T-cells/NK cells","Irf8"
"Usp251",1.24846e-13,0.3768082,0.102,0.036,2.17719e-09,"T-cells/NK cells","Usp25"
"Tra2a4",1.348288e-13,0.3835063,0.189,0.091,2.351279e-09,"T-cells/NK cells","Tra2a"
"Ccnd3",1.546908e-13,0.3891971,0.169,0.077,2.697652e-09,"T-cells/NK cells","Ccnd3"
"N4bp2l25",1.548886e-13,0.4561377,0.165,0.076,2.701103e-09,"T-cells/NK cells","N4bp2l2"
"Fam133b",1.609298e-13,0.3569451,0.127,0.05,2.806454e-09,"T-cells/NK cells","Fam133b"
"Snhg84",1.611543e-13,0.4913956,0.165,0.076,2.81037e-09,"T-cells/NK cells","Snhg8"
"Stk24",1.694185e-13,0.4574467,0.142,0.06,2.954489e-09,"T-cells/NK cells","Stk24"
"Mxd41",1.782176e-13,0.452482,0.199,0.099,3.107937e-09,"T-cells/NK cells","Mxd4"
"Hnrnpdl4",1.908539e-13,0.4203171,0.229,0.12,3.328301e-09,"T-cells/NK cells","Hnrnpdl"
"Rbm255",1.98805e-13,0.4333178,0.214,0.111,3.46696e-09,"T-cells/NK cells","Rbm25"
"Metrnl",2.003021e-13,0.3605902,0.123,0.048,3.493069e-09,"T-cells/NK cells","Metrnl"
"Ppp4c1",2.415574e-13,0.4438459,0.15,0.066,4.212519e-09,"T-cells/NK cells","Ppp4c"
"Bclaf12",2.648522e-13,0.4416393,0.159,0.073,4.618757e-09,"T-cells/NK cells","Bclaf1"
"Fip1l1",2.658983e-13,0.3177178,0.127,0.051,4.637e-09,"T-cells/NK cells","Fip1l1"
"Sdf42",2.737357e-13,0.4193998,0.208,0.106,4.773677e-09,"T-cells/NK cells","Sdf4"
"Calm32",2.979236e-13,0.4303227,0.21,0.106,5.19549e-09,"T-cells/NK cells","Calm3"
"Prpf4b2",3.081796e-13,0.3425533,0.155,0.068,5.374344e-09,"T-cells/NK cells","Prpf4b"
"Cmtm7",3.269253e-13,0.4863204,0.189,0.092,5.70125e-09,"T-cells/NK cells","Cmtm7"
"Rsl1d11",3.575649e-13,0.3822678,0.178,0.084,6.235574e-09,"T-cells/NK cells","Rsl1d1"
"Gatad2a",3.830645e-13,0.3607321,0.106,0.039,6.680262e-09,"T-cells/NK cells","Gatad2a"
"Hnrnpa34",3.891777e-13,0.4486028,0.307,0.186,6.78687e-09,"T-cells/NK cells","Hnrnpa3"
"Fubp13",3.961459e-13,0.3753923,0.184,0.089,6.908388e-09,"T-cells/NK cells","Fubp1"
"Sec11a5",4.04636e-13,0.4915743,0.25,0.141,7.056447e-09,"T-cells/NK cells","Sec11a"
"Arpc42",5.880178e-13,0.3997738,0.18,0.087,1.025444e-08,"T-cells/NK cells","Arpc4"
"Nasp1",7.96252e-13,0.3145393,0.102,0.037,1.388584e-08,"T-cells/NK cells","Nasp"
"Cox7a2l1",1.000987e-12,0.3488586,0.506,0.359,1.745621e-08,"T-cells/NK cells","Cox7a2l"
"Zfp2924",1.050176e-12,0.4259918,0.129,0.055,1.831401e-08,"T-cells/NK cells","Zfp292"
"Hsp90b16",1.139285e-12,0.3946866,0.375,0.24,1.9868e-08,"T-cells/NK cells","Hsp90b1"
"Snrnp40",1.146197e-12,0.3019778,0.104,0.038,1.998853e-08,"T-cells/NK cells","Snrnp40"
"Phf20l1",1.414796e-12,0.3348821,0.104,0.039,2.467263e-08,"T-cells/NK cells","Phf20l1"
"Ppil4",1.460018e-12,0.3350605,0.127,0.053,2.546125e-08,"T-cells/NK cells","Ppil4"
"Samhd12",1.46794e-12,0.3903392,0.119,0.048,2.559941e-08,"T-cells/NK cells","Samhd1"
"Pole41",1.508117e-12,0.3674633,0.199,0.1,2.630005e-08,"T-cells/NK cells","Pole4"
"1810026B05Rik2",1.598391e-12,0.4171076,0.167,0.079,2.787435e-08,"T-cells/NK cells","1810026B05Rik"
"mt-Rnr24",1.861204e-12,0.3169317,0.86,0.85,3.245754e-08,"T-cells/NK cells","mt-Rnr2"
"Sbno14",2.108431e-12,0.3924817,0.131,0.056,3.676893e-08,"T-cells/NK cells","Sbno1"
"Pde4b4",2.829446e-12,0.3794342,0.18,0.089,4.934272e-08,"T-cells/NK cells","Pde4b"
"Ss18",2.996814e-12,0.3756018,0.119,0.048,5.226145e-08,"T-cells/NK cells","Ss18"
"Tcf12",3.213679e-12,0.4249625,0.108,0.042,5.604335e-08,"T-cells/NK cells","Tcf12"
"Syf21",3.372808e-12,0.3579897,0.237,0.13,5.881841e-08,"T-cells/NK cells","Syf2"
"Sp110",4.154657e-12,0.2982767,0.102,0.038,7.245307e-08,"T-cells/NK cells","Sp110"
"Nr4a15",4.48455e-12,0.5356306,0.203,0.108,7.820607e-08,"T-cells/NK cells","Nr4a1"
"Sf3b32",5.762492e-12,0.3456328,0.121,0.05,1.004921e-07,"T-cells/NK cells","Sf3b3"
"Strap",5.946482e-12,0.341911,0.165,0.079,1.037007e-07,"T-cells/NK cells","Strap"
"Sltm",6.183634e-12,0.3573218,0.129,0.055,1.078364e-07,"T-cells/NK cells","Sltm"
"Btbd9",6.70719e-12,0.2980912,0.104,0.04,1.169667e-07,"T-cells/NK cells","Btbd9"
"Cct6a1",6.793062e-12,0.343953,0.201,0.105,1.184642e-07,"T-cells/NK cells","Cct6a"
"Dnaja22",9.404194e-12,0.3056707,0.248,0.138,1.639997e-07,"T-cells/NK cells","Dnaja2"
"Stip11",1.03757e-11,0.3399817,0.14,0.063,1.809418e-07,"T-cells/NK cells","Stip1"
"Rassf15",1.092763e-11,0.4126213,0.167,0.082,1.905669e-07,"T-cells/NK cells","Rassf1"
"Brd43",1.119226e-11,0.3661247,0.121,0.051,1.951818e-07,"T-cells/NK cells","Brd4"
"Emg1",1.126323e-11,0.3897049,0.227,0.124,1.964195e-07,"T-cells/NK cells","Emg1"
"Pak22",1.175666e-11,0.3686609,0.167,0.082,2.050244e-07,"T-cells/NK cells","Pak2"
"Srpk1",1.308071e-11,0.301201,0.121,0.05,2.281146e-07,"T-cells/NK cells","Srpk1"
"Gtpbp41",1.405535e-11,0.3382656,0.127,0.055,2.451113e-07,"T-cells/NK cells","Gtpbp4"
"Grb2",1.464319e-11,0.293245,0.125,0.053,2.553627e-07,"T-cells/NK cells","Grb2"
"Ppib4",1.596836e-11,0.3860673,0.386,0.263,2.784722e-07,"T-cells/NK cells","Ppib"
"Wapl1",1.603629e-11,0.3710799,0.142,0.065,2.796568e-07,"T-cells/NK cells","Wapl"
"Mphosph10",1.625468e-11,0.3200252,0.104,0.041,2.834653e-07,"T-cells/NK cells","Mphosph10"
"Slc1a52",1.645776e-11,0.3449358,0.106,0.042,2.870069e-07,"T-cells/NK cells","Slc1a5"
"Wsb14",1.874656e-11,0.4027594,0.169,0.084,3.269212e-07,"T-cells/NK cells","Wsb1"
"Csnk1d1",1.961701e-11,0.3789834,0.123,0.053,3.421011e-07,"T-cells/NK cells","Csnk1d"
"U2af12",2.058129e-11,0.3853882,0.21,0.112,3.58917e-07,"T-cells/NK cells","U2af1"
"Dnajc91",2.092015e-11,0.3288409,0.112,0.046,3.648265e-07,"T-cells/NK cells","Dnajc9"
"Xrn2",2.155849e-11,0.336448,0.136,0.061,3.759585e-07,"T-cells/NK cells","Xrn2"
"Efhd21",2.184668e-11,0.3955622,0.148,0.068,3.809843e-07,"T-cells/NK cells","Efhd2"
"Snrpf4",2.362585e-11,0.4802849,0.186,0.098,4.120112e-07,"T-cells/NK cells","Snrpf"
